,sampletype,Blank,Blank,Control13Cglc,Control13Cglc,Control13Cglc,FASN,FASN,FASN,FADS2,FADS2,FADS2,SCD,SCD,SCD
Compound,Label,X20210713_inhib_blank01.mzXML,X20210713_inhib_blank02.mzXML,X20210713_inhib_s01_CONTROL_glc.mzXML,X20210713_inhib_s02_CONTROL_glc.mzXML,X20210713_inhib_s03_CONTROL_glc.mzXML,X20210713_inhib_s07_FASN.mzXML,X20210713_inhib_s08_FASN.mzXML,X20210713_inhib_s09_FASN.mzXML,X20210713_inhib_s13_FADS2.mzXML,X20210713_inhib_s14_FADS2.mzXML,X20210713_inhib_s15_FADS2.mzXML,X20210713_inhib_s19_SCD.mzXML,X20210713_inhib_s20_SCD.mzXML,X20210713_inhib_s21_SCD.mzXML
FA(16:1)nx,6,0,0,0,271340.3193,250962.6655,0,0,0,0,0,193462.0342,0,914375.8154,812781.0303
FA(16:1)nx,7,0,0,0,0,184672.4031,0,0,0,0,0,0,0,383125.9526,324188.8756
FA(16:1)nx,8,0,0,763682.7217,1043607.131,940049.4429,0,1343.005371,0,136346.978,0,366315.9697,1329227.605,1930393.94,1742954.452
FA(16:1)nx,9,0,0,651877.105,740564.9795,760058.5791,0,0,0,0,0,219653.6401,455289.6873,775314.7666,638394.8896
FA(16:1)nx,10,0,0,2410371.178,2968605.072,2517001.063,0,0,0,0,578265.6406,723220.2832,1820797.256,3177101.049,2637490.361
FA(16:1)nx,11,0,0,1513138.483,1709891.576,1511795.813,0,0,0,101992.5217,310120.9663,364274.4854,607496.5825,1108400.501,940037.9888
FA(16:1)nx,12,0,0,4645448.02,5009598.238,4798539.465,0,0,0,317847.4385,894165.1426,1098771.5,1965653.656,3570984.719,3232515.689
FA(16:1)nx,13,0,0,2111484,2368897.645,2032404.957,0,0,0,0,336824.1924,290506.377,462203.3918,854062.625,804986.0796
FA(16:1)nx,14,0,0,4947422.789,5197190.469,5254045.164,0,0,0,298362.5239,779163.5156,828570.0957,1437721.076,2690243.854,2399281.797
FA(16:1)nx,15,0,1101.883789,1287312.044,1381606.542,1237727.084,0,0,0,0,154640.4026,148240.2485,140239.0889,352450.3948,343701.3125
FA(16:1)nx,16,0,0,3142001.666,2786937.109,2460384.08,1987.296387,0,0,0,361509.4189,368118.7705,405617.2432,951222.4741,930308.4724
FA(16:2)nx,0,120017.752,272475.21,3629134.211,3817621.766,3515450.09,2919388.809,3378455.914,3282247.512,574512.2344,1102760.359,1005552.531,3413780.145,3386805.926,3010250.414
FA(16:2)nx,1,0,0,634339.3916,633835.9751,542153.5845,398793.3828,562492.3916,548834.3652,0,225463.0078,236216.2991,590750.1621,571688.4011,531112.1118
FA(16:2)nx,2,0,0,0,44380.47119,40357.43311,0,36025.05273,40980.55176,0,0,0,0,8988.421387,0
FA(16:2)nx,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)nx,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)nx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)nx,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)nx,7,0,0,0,0,19003.64233,0,0,0,0,0,0,0,0,0
FA(16:2)nx,8,0,0,145100.3862,0,157730.4514,0,0,0,0,0,0,0,0,0
FA(16:2)nx,9,0,0,114543.1338,100872.0786,86508.67676,0,0,0,0,0,0,0,0,0
FA(16:2)nx,10,0,0,517413.6641,494630.3706,503571.502,0,0,0,0,0,5100.088867,0,0,0
FA(16:2)nx,11,0,0,261995.8975,278793.8352,253917.926,0,0,0,0,0,0,0,0,0
FA(16:2)nx,12,0,0,944585.6982,946313.5232,918198.0627,0,0,0,0,0,0,0,4454.126709,0
FA(16:2)nx,13,0,0,337166.4773,363667.6384,350891.7588,0,0,0,0,0,0,0,0,0
FA(16:2)nx,14,0,0,1010836.458,948424.5869,922867.063,0,0,0,0,0,0,0,823.838623,0
FA(16:2)nx,15,0,0,192069.4539,214802.2454,192103.1028,0,0,0,0,0,0,0,0,0
FA(16:2)nx,16,0,0,437538.2485,469204.6313,507741.8691,0,0,0,0,0,0,0,0,0
FA(16:2)ny,0,305967.7793,70706.18359,4213973,4084175.32,3248312.867,4909230.648,5981650.18,4198034.703,2278337.273,4697507.227,4225277.102,4707482.211,4397799.18,2478268.25
FA(16:2)ny,1,0,0,635893.5449,698675.4707,579483.8643,803734.6934,1039544.75,782997.873,436558.1748,878728.8438,744438.1113,774261.0547,680673.7305,408768.0859
FA(16:2)ny,2,0,0,83011.34521,68330.65283,56096.93115,66034.31641,80117.43994,67683.45996,0,0,51965.89209,0,78724.36572,35993.48828
FA(16:2)ny,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)ny,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)ny,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)ny,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)ny,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)ny,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)ny,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)ny,10,0,0,11489.32422,0,0,0,0,0,0,1138.27832,0,0,0,0
FA(16:2)ny,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)ny,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)ny,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)ny,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)ny,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)ny,16,0,0,5061.135254,0,0,0,0,0,0,0,0,0,0,0
